City,Colors Reported,Shape Reported,State,Time,Location
Ithaca,,TRIANGLE,NY,6/1/1930 22:00,"Ithaca,NY"
Willingboro,,OTHER,NJ,6/30/1930 20:00,"Willingboro,NJ"
Holyoke,,OVAL,CO,2/15/1931 14:00,"Holyoke,CO"
Abilene,,DISK,KS,6/1/1931 13:00,"Abilene,KS"
New York Worlds Fair,,LIGHT,NY,4/18/1933 19:00,"New York Worlds Fair,NY"
Valley City,,DISK,ND,9/15/1934 15:30,"Valley City,ND"
Crater Lake,,CIRCLE,CA,6/15/1935 0:00,"Crater Lake,CA"
Alma,,DISK,MI,7/15/1936 0:00,"Alma,MI"
Eklutna,,CIGAR,AK,10/15/1936 17:00,"Eklutna,AK"
Hubbard,,CYLINDER,OR,6/15/1937 0:00,"Hubbard,OR"
Fontana,,LIGHT,CA,8/15/1937 21:00,"Fontana,CA"
Waterloo,,FIREBALL,AL,6/1/1939 20:00,"Waterloo,AL"
Belton,RED,SPHERE,SC,6/30/1939 20:00,"Belton,SC"
Keokuk,,OVAL,IA,7/7/1939 2:00,"Keokuk,IA"
Ludington,,DISK,MI,6/1/1941 13:00,"Ludington,MI"
Forest Home,,CIRCLE,CA,7/2/1941 11:30,"Forest Home,CA"
Los Angeles,,,CA,2/25/1942 0:00,"Los Angeles,CA"
Hapeville,,,GA,6/1/1942 22:30,"Hapeville,GA"
Oneida,,RECTANGLE,TN,7/15/1942 1:00,"Oneida,TN"
Bering Sea,RED,OTHER,AK,4/30/1943 23:00,"Bering Sea,AK"
Nebraska,,DISK,NE,6/1/1943 15:00,"Nebraska,NE"
,,,LA,8/15/1943 0:00,
,,LIGHT,LA,8/15/1943 0:00,
Owensboro,,RECTANGLE,KY,10/15/1943 11:00,"Owensboro,KY"
Wilderness,,DISK,WV,1/1/1944 10:00,"Wilderness,WV"
San Diego,,CIGAR,CA,1/1/1944 12:00,"San Diego,CA"
Wilderness,,DISK,WV,1/1/1944 12:00,"Wilderness,WV"
Clovis,,DISK,NM,4/2/1944 11:00,"Clovis,NM"
Los Alamos,,DISK,NM,6/1/1944 12:00,"Los Alamos,NM"
Ft. Duschene,,DISK,UT,6/30/1944 10:00,"Ft. Duschene,UT"
South Kingstown,,SPHERE,RI,7/1/1944 20:00,"South Kingstown,RI"
North Tampa,,CYLINDER,FL,7/15/1944 13:00,"North Tampa,FL"
Ft. Lee,,CIGAR,VA,1/1/1945 12:00,"Ft. Lee,VA"
Salinas AFB,,DISK,CA,6/1/1945 12:00,"Salinas AFB,CA"
Jasper,,FIREBALL,FL,6/1/1945 13:30,"Jasper,FL"
Winston-Salem,,DISK,NC,6/7/1945 7:00,"Winston-Salem,NC"
Portsmouth,RED,FORMATION,VA,7/10/1945 1:30,"Portsmouth,VA"
Dallas,,SPHERE,TX,7/15/1945 14:00,"Dallas,TX"
Huntington Beach,,DISK,CA,8/8/1945 12:00,"Huntington Beach,CA"
San Antonio,,OVAL,NM,8/16/1945 11:30,"San Antonio,NM"
Roswell,,SPHERE,NM,12/15/1945 2:00,"Roswell,NM"
New York City,,DISK,NY,1/8/1946 2:00,"New York City,NY"
Merced,,SPHERE,CA,2/1/1946 17:00,"Merced,CA"
Alice,,DISK,TX,3/15/1946 15:30,"Alice,TX"
Blairsden,GREEN,SPHERE,CA,6/30/1946 19:00,"Blairsden,CA"
Index,,FIREBALL,WA,6/30/1946 21:00,"Index,WA"
South Portland,,OVAL,ME,7/1/1946 13:30,"South Portland,ME"
Oak Lawn,,FORMATION,IL,9/12/1946 0:00,"Oak Lawn,IL"
Dome,,FLASH,AZ,9/30/1946 20:30,"Dome,AZ"
Conroe,,OTHER,TX,1/10/1947 20:00,"Conroe,TX"
Syracuse,,DISK,NY,2/20/1947 22:15,"Syracuse,NY"
Miami,,OTHER,FL,4/15/1947 14:00,"Miami,FL"
San Deigo,,TRIANGLE,CA,4/15/1947 23:00,"San Deigo,CA"
Minden,,,LA,6/1/1947 0:00,"Minden,LA"
Cleveland,,LIGHT,OH,6/1/1947 2:30,"Cleveland,OH"
Espanola,,CIRCLE,NM,6/1/1947 17:00,"Espanola,NM"
Oroville,,,CA,6/1/1947 18:00,"Oroville,CA"
Oakmont,,,PA,6/13/1947 20:18,"Oakmont,PA"
Winona,,DISK,MN,6/15/1947 10:00,"Winona,MN"
Gackle,,OTHER,ND,6/15/1947 14:00,"Gackle,ND"
Madison,,DISK,WI,6/15/1947 18:00,"Madison,WI"
Hayward,,CIRCLE,CA,6/20/1947 12:00,"Hayward,CA"
Tacoma,,OTHER,WA,6/30/1947 0:00,"Tacoma,WA"
Baltimore,,OVAL,MD,6/30/1947 18:00,"Baltimore,MD"
Cashmere,,FORMATION,WA,7/1/1947 20:00,"Cashmere,WA"
Maywood,,DISK,CA,7/1/1947 20:00,"Maywood,CA"
Wexford,BLUE,,PA,7/1/1947 20:00,"Wexford,PA"
Sioux Falls,,,SD,7/4/1947 0:00,"Sioux Falls,SD"
Seattle,,OVAL,WA,7/4/1947 17:30,"Seattle,WA"
Dell Rapids,,,SD,7/5/1947 0:00,"Dell Rapids,SD"
Philadelphia,,DISK,PA,7/5/1947 11:30,"Philadelphia,PA"
Roswell,,,NM,7/7/1947 0:00,"Roswell,NM"
Johnston City,,DISK,IL,7/9/1947 20:00,"Johnston City,IL"
Roswell,,,NM,7/11/1947 0:00,"Roswell,NM"
Syracuse,,CIGAR,NY,7/14/1947 10:30,"Syracuse,NY"
Richmond,,CIRCLE,CA,7/14/1947 11:00,"Richmond,CA"
Las Vegas,,DISK,NV,7/15/1947 10:00,"Las Vegas,NV"
Keeneyville,,FORMATION,IL,7/15/1947 12:00,"Keeneyville,IL"
Clintwood,,CYLINDER,VA,7/15/1947 15:00,"Clintwood,VA"
Hazelton,,DISK,ID,7/15/1947 15:00,"Hazelton,ID"
Minneapolis,,DISK,MN,7/15/1947 17:00,"Minneapolis,MN"
Morehouse,,CYLINDER,MO,7/15/1947 21:00,"Morehouse,MO"
San Jose,BLUE,CHEVRON,CA,7/15/1947 21:00,"San Jose,CA"
Raton,,OVAL,NM,7/20/1947 22:00,"Raton,NM"
Modesto,BLUE,DISK,CA,8/8/1947 22:00,"Modesto,CA"
Green Valley,,,WI,8/10/1947 20:00,"Green Valley,WI"
Henrietta,,LIGHT,OK,8/12/1947 1:00,"Henrietta,OK"
Saranac Lake,,DISK,NY,8/12/1947 22:00,"Saranac Lake,NY"
Proctor,,CIGAR,OK,8/15/1947 20:15,"Proctor,OK"
